    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 6339,       9967835,         9961508,          14536,     54979,       61563,        357
 6340,       9967842,         9961514,          12885,     54907,       61574,        356
 6341,       9971634,         9965305,          13494,     54984,       61585,        362
 6342,       9977185,         9970855,          13723,     54895,       61596,        358
 6343,       9979502,         9973171,          12799,     54943,       61607,        373
 6344,       9983680,         9977348,          15279,     55043,       61618,        582
 6345,       9987358,         9981025,          13829,     55034,       61629,        354
 6346,       9991617,         9985283,          13843,     54971,       61640,        358
 6347,       9997800,         9991465,          12921,     54931,       61651,        354
 6348,      10002245,         9995909,          14935,     55114,       61662,        356
 6349,      10004281,         9997944,          13386,     55134,       61673,        362
 6350,      10007043,        10000705,          13184,     55033,       61684,        358
 6351,      10009539,        10003200,          13211,     55003,       61695,        359
 6352,      10012057,        10005717,          12880,     55101,       61706,        356
 6353,      10016911,        10010570,          13126,     55156,       61717,        383
 6354,      10019243,        10012901,          12861,     54872,       61728,        353
 6355,      10019868,        10013525,          19185,     54860,       61739,        563
 6356,      10022324,        10015980,          19246,     55026,       61750,        579
 6357,      10028379,        10022034,          16297,     54940,       61761,        356
 6358,      10034554,        10028208,          12965,     54980,       61772,        358
 6359,      10035601,        10029254,          12895,     55080,       61783,        362
 6360,      10038762,        10032414,          12999,     54819,       61794,        354
 6361,      10041817,        10035468,          19145,     54954,       61805,        356
 6362,      10046278,        10039928,          13738,     55056,       61816,        359
 6363,      10051122,        10044771,          12902,     55010,       61827,        354
 6364,      10051306,        10044954,          13547,     55058,       61838,        377
 6365,      10052129,        10045776,          12934,     55149,       61849,        358
 6366,      10053581,        10047227,          13041,     55397,       61860,        362
 6367,      10055130,        10048775,          15172,     55436,       61871,        385
 6368,      10058819,        10052463,          12875,     55305,       61882,        354
 6369,      10062835,        10056478,          13722,     55305,       61893,        362
 6370,      10067068,        10060710,          12883,     55339,       61904,        357
 6371,      10068384,        10062025,          13043,     55327,       61915,        359
 6372,      10072547,        10066187,          13020,     55467,       61926,        357
 6373,      10077433,        10071072,          12893,     55390,       61937,        463
 6374,      10077945,        10071583,          13552,     55284,       61948,        361
 6375,      10083992,        10077629,          12920,     55299,       61959,        367
 6376,      10085133,        10078769,          13944,     55140,       61970,        439
 6377,      10085146,        10078781,          12984,     55084,       61981,        354
 6378,      10086122,        10079756,          15986,     55241,       61992,        439
 6379,      10088564,        10082197,          16520,     55167,       62003,        580
 6380,      10094004,        10087636,          18465,     55090,       62014,        440
 6381,      10099521,        10093152,          13064,     55152,       62025,        360
 6382,      10105479,        10099109,          13301,     55348,       62036,        359
 6383,      10109919,        10103548,          13209,     55335,       62047,        358
 6384,      10112699,        10106327,          15943,     55151,       62058,        579
 6385,      10115725,        10109352,          13691,     55174,       62069,        359
 6386,      10120546,        10114172,          12930,     55113,       62080,        368
 6387,      10126097,        10119722,          14331,     55154,       62091,        443
 6388,      10132141,        10125765,          13002,     55184,       62102,        359
 6389,      10133844,        10127467,          12994,     55217,       62113,        358
 6390,      10136699,        10130321,          13161,     55404,       62124,        361
 6391,      10141627,        10135248,          12966,     55427,       62135,        359
 6392,      10143360,        10136980,          14178,     55339,       62146,        358
 6393,      10146171,        10139790,          13050,     55338,       62157,        364
 6394,      10146852,        10140470,          13052,     55603,       62168,        359
 6395,      10149940,        10143557,          13533,     55593,       62179,        359
 6396,      10152545,        10146161,          13023,     55506,       62190,        361
 6397,      10155554,        10149169,          13526,     55675,       62201,        370
 6398,      10158398,        10152012,          13485,     55598,       62212,        362
 6399,      10159983,        10153596,          13084,     55597,       62223,        361
 6400,      10161513,        10155125,          19729,     55600,       62234,        582
 6401,      10161680,        10155291,          17595,     55513,       62245,        361
 6402,      10163490,        10157100,          13075,     55705,       62256,        374
 6403,      10163713,        10157322,          13011,     55737,       62267,        359
 6404,      10164353,        10157961,          13847,     55599,       62278,        362
 6405,      10170613,        10164220,          13013,     55538,       62289,        356
 6406,      10173295,        10166901,          13233,     55532,       62300,        359
 6407,      10178151,        10171756,          13126,     55483,       62311,        375
 6408,      10179139,        10172743,          16828,     55613,       62322,        363
 6409,      10184744,        10178347,          13072,     55587,       62333,        357
 6410,      10189773,        10183375,          13313,     55577,       62344,        363
 6411,      10192797,        10186398,          14231,     55629,       62355,        363
 6412,      10193194,        10186794,          17632,     55609,       62366,        362
 6413,      10193753,        10187352,          13263,     55595,       62377,        361
 6414,      10199458,        10193056,          13058,     55670,       62388,        359
 6415,      10203059,        10196656,          13245,     55719,       62399,        361
 6416,      10205378,        10198974,          14126,     55596,       62410,        360
 6417,      10205899,        10199494,          13345,     55691,       62421,        420
 6418,      10212277,        10205871,          13733,     55673,       62432,        375
 6419,      10216985,        10210578,          13533,     55708,       62443,        361
 6420,      10221021,        10214613,          14115,     55653,       62454,        412
 6421,      10222586,        10216177,          13475,     55656,       62465,        370
 6422,      10226975,        10220565,          14314,     55763,       62476,        398
 6423,      10231912,        10225501,          13219,     55728,       62487,        377
 6424,      10236056,        10229644,          13293,     55627,       62498,        394
 6425,      10236110,        10229697,          14006,     55488,       62509,        365
 6426,      10237664,        10231250,          13551,     55720,       62520,        368
 6427,      10238996,        10232581,          14038,     55617,       62531,        365
